region	site	date	cause	type	density
295	Manbij	Abu Qilqil	2004-10-21	Construction	Domestic	0.00273224043715847
296	Manbij	Abu Qilqil	2004-10-22	Construction	Domestic	0.00273224043715847
297	Manbij	Abu Qilqil	2004-10-23	Construction	Domestic	0.00273224043715847
298	Manbij	Abu Qilqil	2004-10-24	Construction	Domestic	0.00273224043715847
299	Manbij	Abu Qilqil	2004-10-25	Construction	Domestic	0.00273224043715847
300	Manbij	Abu Qilqil	2004-10-26	Construction	Domestic	0.00273224043715847
301	Manbij	Abu Qilqil	2004-10-27	Construction	Domestic	0.00273224043715847
302	Manbij	Abu Qilqil	2004-10-28	Construction	Domestic	0.00273224043715847
303	Manbij	Abu Qilqil	2004-10-29	Construction	Domestic	0.00273224043715847
304	Manbij	Abu Qilqil	2004-10-30	Construction	Domestic	0.00273224043715847
305	Manbij	Abu Qilqil	2004-10-31	Construction	Domestic	0.00273224043715847
306	Manbij	Abu Qilqil	2004-11-01	Construction	Domestic	0.00273224043715847
307	Manbij	Abu Qilqil	2004-11-02	Construction	Domestic	0.00273224043715847
308	Manbij	Abu Qilqil	2004-11-03	Construction	Domestic	0.00273224043715847
309	Manbij	Abu Qilqil	2004-11-04	Construction	Domestic	0.00273224043715847
310	Manbij	Abu Qilqil	2004-11-05	Construction	Domestic	0.00273224043715847
311	Manbij	Abu Qilqil	2004-11-06	Construction	Domestic	0.00273224043715847
312	Manbij	Abu Qilqil	2004-11-07	Construction	Domestic	0.00273224043715847
313	Manbij	Abu Qilqil	2004-11-08	Construction	Domestic	0.00273224043715847
314	Manbij	Abu Qilqil	2004-11-09	Construction	Domestic	0.00273224043715847
315	Manbij	Abu Qilqil	2004-11-10	Construction	Domestic	0.00273224043715847
316	Manbij	Abu Qilqil	2004-11-11	Construction	Domestic	0.00273224043715847
317	Manbij	Abu Qilqil	2004-11-12	Construction	Domestic	0.00273224043715847
318	Manbij	Abu Qilqil	2004-11-13	Construction	Domestic	0.00273224043715847
319	Manbij	Abu Qilqil	2004-11-14	Construction	Domestic	0.00273224043715847
320	Manbij	Abu Qilqil	2004-11-15	Construction	Domestic	0.00273224043715847
321	Manbij	Abu Qilqil	2004-11-16	Construction	Domestic	0.00273224043715847
322	Manbij	Abu Qilqil	2004-11-17	Construction	Domestic	0.00273224043715847
323	Manbij	Abu Qilqil	2004-11-18	Construction	Domestic	0.00273224043715847
324	Manbij	Abu Qilqil	2004-11-19	Construction	Domestic	0.00273224043715847
325	Manbij	Abu Qilqil	2004-11-20	Construction	Domestic	0.00273224043715847
326	Manbij	Abu Qilqil	2004-11-21	Construction	Domestic	0.00273224043715847
327	Manbij	Abu Qilqil	2004-11-22	Construction	Domestic	0.00273224043715847
328	Manbij	Abu Qilqil	2004-11-23	Construction	Domestic	0.00273224043715847
329	Manbij	Abu Qilqil	2004-11-24	Construction	Domestic	0.00273224043715847
330	Manbij	Abu Qilqil	2004-11-25	Construction	Domestic	0.00273224043715847
331	Manbij	Abu Qilqil	2004-11-26	Construction	Domestic	0.00273224043715847
332	Manbij	Abu Qilqil	2004-11-27	Construction	Domestic	0.00273224043715847
333	Manbij	Abu Qilqil	2004-11-28	Construction	Domestic	0.00273224043715847
334	Manbij	Abu Qilqil	2004-11-29	Construction	Domestic	0.00273224043715847
335	Manbij	Abu Qilqil	2004-11-30	Construction	Domestic	0.00273224043715847
336	Manbij	Abu Qilqil	2004-12-01	Construction	Domestic	0.00273224043715847
337	Manbij	Abu Qilqil	2004-12-02	Construction	Domestic	0.00273224043715847
338	Manbij	Abu Qilqil	2004-12-03	Construction	Domestic	0.00273224043715847
339	Manbij	Abu Qilqil	2004-12-04	Construction	Domestic	0.00273224043715847
